tourney_id,tourney_name,surface,draw_size,tourney_level
1993-M-SA-CIV-01A-1993d,West Africa Masters 4,Hard,32,S
1971-303,Buenos Aires,Clay,32,A
1999-M-FU-ITA-17A-1999,Italy F17,Hard,30,S
1976-329,Tokyo Outdoor,Clay,64,A
1991-D019,Davis Cup WG PO: CUB vs CAN,Hard,4,D
2000-M-SA-ESP-05A-2000a,Spain 5 Satellite 1,Clay,32,S
1978-580,Australian Open,Grass,64,G
2001-451,Doha,Hard,32,A
1999-M-FU-FRA-05A-1999,France F5,Clay,32,S
2015-M-FU-UKR-01A-2015,Ukraine F1,Clay,32,S
1999-778,Newcastle CH,Clay,32,C
1992-311,Queen's Club,Grass,56,A
2007-M-FU-ESP-09A-2007,Spain F9,Clay,32,S
1991-440,Rosmalen,Grass,32,A
2017-M-FU-EGY-13A-2017,Egypt F13,Hard,32,S
2011-M-FU-TUR-22A-2011,Turkey F22,Clay,32,S
1990-D077,Davis Cup G2 R1: SIN vs TPE,Grass,4,D
1992-M-SA-ITA-01A-1992d,Italy 2 Masters 4,Clay,24,S
2012-D065,Davis Cup G2 R3: INA vs PHI,Hard,4,D
2020-0375,Montpellier,Hard,32,A
1995-D011,Davis Cup G2 PO: BLR vs EST,Carpet,4,D
2010-3350,Mons CH,Hard,32,C
2009-M-FU-FRA-13A-2009,France F13,Hard,32,S
1988-D020,Davis Cup G2 SF: CIV vs ZIM,Hard,4,D
2000-M-FU-MEX-07A-2000,Mexico F7,Hard,32,S
1991-M-SA-FRA-02A-1991c,France 2 Masters 3,Clay,32,S
2010-D022,Davis Cup G1 R1: POL vs FIN,Hard,4,D
